kohde,jasen,pvknro,sp,IKAL1,ASALUE,V1,V21,V22,V5,H1a_A,H1b_A
50212,2,1,1,8,1.0,0.0,0.0,0.0,20.0,2.0,1.0
50212,2,2,1,8,1.0,0.0,0.0,0.0,30.0,2.0,1.0
50213,1,1,2,6,1.0,430.0,0.0,0.0,60.0,1.0,1.0
50213,1,2,2,6,1.0,0.0,0.0,0.0,80.0,1.0,1.0
50214,2,1,2,5,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50214,2,2,2,5,1.0,510.0,0.0,0.0,10.0,1.0,1.0
50220,2,1,1,7,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50220,2,2,1,7,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50238,1,1,2,9,3.0,0.0,0.0,0.0,90.0,2.0,2.0
50238,1,2,2,9,3.0,0.0,0.0,0.0,100.0,2.0,2.0
50239,1,1,1,8,1.0,,,,,2.0,2.0
50239,1,2,1,8,1.0,,,,,2.0,2.0
50240,1,1,1,7,1.0,0.0,0.0,0.0,10.0,2.0,2.0
50240,1,2,1,7,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50242,1,1,1,7,1.0,0.0,0.0,0.0,0.0,2.0,1.0
50242,1,2,1,7,1.0,0.0,0.0,0.0,60.0,2.0,1.0
50253,2,1,2,6,2.0,570.0,0.0,0.0,10.0,1.0,1.0
50253,2,2,2,6,2.0,0.0,20.0,0.0,90.0,1.0,1.0
50254,1,1,1,6,1.0,0.0,0.0,0.0,90.0,1.0,2.0
50254,1,2,1,6,1.0,0.0,0.0,0.0,90.0,1.0,2.0
50258,2,1,1,7,1.0,0.0,0.0,0.0,0.0,2.0,2.0
50258,2,2,1,7,1.0,0.0,0.0,0.0,10.0,2.0,2.0
50266,1,1,1,4,1.0,0.0,0.0,0.0,10.0,1.0,2.0
50266,1,2,1,4,1.0,560.0,,0.0,0.0,1.0,2.0
50267,1,1,1,8,2.0,0.0,0.0,0.0,70.0,2.0,1.0
50267,1,2,1,8,2.0,0.0,0.0,0.0,60.0,2.0,1.0
50287,1,1,1,8,3.0,0.0,0.0,0.0,0.0,2.0,2.0
50287,1,2,1,8,3.0,0.0,0.0,0.0,0.0,2.0,2.0
50291,1,1,2,7,3.0,0.0,0.0,0.0,10.0,2.0,1.0
50291,1,2,2,7,3.0,0.0,0.0,0.0,50.0,2.0,1.0
50306,1,1,2,5,1.0,400.0,90.0,30.0,50.0,2.0,1.0
50306,1,2,2,5,1.0,0.0,50.0,40.0,90.0,2.0,1.0
50310,1,1,1,6,1.0,0.0,0.0,0.0,80.0,2.0,1.0
50310,1,2,1,6,1.0,450.0,0.0,0.0,30.0,2.0,1.0
50311,1,1,2,8,3.0,0.0,0.0,0.0,120.0,2.0,2.0
50311,1,2,2,8,3.0,0.0,0.0,0.0,30.0,2.0,2.0
50312,2,1,1,7,3.0,0.0,0.0,0.0,10.0,2.0,1.0
50312,2,2,1,7,3.0,0.0,0.0,0.0,0.0,2.0,1.0
50315,1,1,2,6,1.0,0.0,0.0,0.0,130.0,1.0,1.0
50315,1,2,2,6,1.0,510.0,0.0,0.0,50.0,1.0,1.0
50316,1,1,2,3,3.0,0.0,0.0,0.0,10.0,1.0,2.0
50316,1,2,2,3,3.0,0.0,0.0,0.0,30.0,1.0,2.0
50319,1,1,2,6,3.0,0.0,0.0,0.0,70.0,0.0,0.0
50319,1,2,2,6,3.0,320.0,0.0,0.0,80.0,0.0,0.0
50327,2,1,1,5,2.0,70.0,0.0,0.0,20.0,2.0,2.0
50327,2,2,1,5,2.0,0.0,0.0,110.0,0.0,2.0,2.0
50330,2,1,1,7,2.0,0.0,0.0,0.0,20.0,1.0,1.0
50330,2,2,1,7,2.0,0.0,0.0,0.0,0.0,1.0,1.0
50342,2,1,2,8,1.0,0.0,0.0,0.0,40.0,1.0,1.0
50342,2,2,2,8,1.0,150.0,0.0,0.0,30.0,1.0,1.0
50347,2,1,1,6,3.0,0.0,0.0,0.0,10.0,1.0,2.0
50347,2,2,1,6,3.0,0.0,0.0,0.0,90.0,1.0,2.0
50348,1,1,2,5,1.0,0.0,0.0,0.0,40.0,1.0,2.0
50355,1,1,1,8,1.0,0.0,0.0,0.0,130.0,2.0,2.0
50355,1,2,1,8,1.0,0.0,0.0,0.0,10.0,,2.0
50356,1,1,1,6,1.0,0.0,0.0,0.0,20.0,1.0,1.0
50356,1,2,1,6,1.0,0.0,0.0,0.0,0.0,1.0,1.0
50358,1,1,1,6,3.0,0.0,0.0,0.0,20.0,2.0,1.0
50358,1,2,1,6,3.0,500.0,0.0,0.0,0.0,2.0,1.0
50363,2,1,2,4,1.0,,,,,1.0,2.0
50363,2,2,2,4,1.0,,,,,1.0,2.0
50366,1,1,2,6,2.0,0.0,0.0,0.0,30.0,2.0,1.0
